 Configuration with minimum energy:           61
 Configuration with maximum energy:           38

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
        51       384  0.367468E+00      0.0000    0.3543E-08
        52       768  0.233351E+00      0.0005    0.6346E-06
        53       768  0.271472E+00      0.0001    0.1452E-06
        54       768  0.341607E+00      0.0000    0.9635E-08
        55       768  0.316161E+00      0.0000    0.2578E-07
        56        96  0.413567E+00      0.0000    0.5956E-09
        57       768  0.281498E+00      0.0001    0.9855E-07
        58       768  0.387340E+00      0.0000    0.1643E-08
        59       768  0.318075E+00      0.0000    0.2394E-07
        60       768  0.365560E+00      0.0000    0.3815E-08
        61        64  0.000000E+00      0.3379    0.5280E-02
        62       384  0.990292E-01      0.0440    0.1145E-03
        63       768  0.183576E+00      0.0033    0.4352E-05
        64       256  0.229323E+00      0.0002    0.7416E-06
        65       192  0.222861E+00      0.0002    0.9521E-06
        66       768  0.270415E+00      0.0001    0.1513E-06
        67       256  0.277361E+00      0.0000    0.1157E-06
        68       768  0.339372E+00      0.0000    0.1051E-07
        69       192  0.318185E+00      0.0000    0.2384E-07
        70       384  0.409955E+00      0.0000    0.6850E-09
        71        64  0.500442E+00      0.0000    0.2068E-10


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1        24  0.151400E+00      0.0015    0.6419E-04
         2        32  0.209404E+00      0.0010    0.3274E-04
         3        96  0.254526E+00      0.0019    0.1940E-04
         4        96  0.348252E+00      0.0006    0.6537E-05
         5       384  0.114173E+00      0.0380    0.9887E-04
         6       384  0.301060E+00      0.0043    0.1130E-04
         7       768  0.171558E+00      0.0390    0.5080E-04
         8       768  0.223931E+00      0.0212    0.2766E-04
         9        24  0.394215E+00      0.0001    0.3835E-05
        10       768  0.305217E+00      0.0083    0.1077E-04
        11       768  0.356616E+00      0.0046    0.5932E-05
        12       384  0.282386E+00      0.0054    0.1404E-04
        13       384  0.362695E+00      0.0021    0.5528E-05
        14        96  0.833040E-01      0.0136    0.1415E-03
        15        96  0.833516E-01      0.0136    0.1414E-03
        16       192  0.125959E+00      0.0166    0.8623E-04
        17       384  0.181042E+00      0.0175    0.4551E-04
        18       384  0.259727E+00      0.0070    0.1826E-04
        19       384  0.255159E+00      0.0074    0.1925E-04
        20       384  0.308170E+00      0.0040    0.1041E-04
